Year,Week,MMWRWeekCode,Date,Deaths,baseline_1819_week,Excess_calc,Excess_TES,diff_calc_vs_TES,diff_pct_of_baseline
2022,30,2022/30,2022-07-30,425,423,2,68.327,-66.327,-15.6801418439716
2022,31,2022/31,2022-08-06,445,383,62,72.165,-10.165,-2.65404699738904
2022,32,2022/32,2022-08-13,400,403,-3,72.804,-75.804,-18.8099255583127
2022,33,2022/33,2022-08-20,411,414.5,-3.5,73.444,-76.944,-18.5630880579011
2022,34,2022/34,2022-08-27,414,423.5,-9.5,72.485,-81.985,-19.3589138134593
2022,35,2022/35,2022-09-03,389,407.5,-18.5,71.845,-90.345,-22.1705521472393
2022,36,2022/36,2022-09-10,408,410.5,-2.5,67.688,-70.188,-17.0981729598051
2022,37,2022/37,2022-09-17,415,413,2,61.292,-59.292,-14.356416464891
2022,38,2022/38,2022-09-24,383,440,-57,59.053,-116.053,-26.3756818181818
2022,39,2022/39,2022-10-01,408,416.5,-8.5,57,-65.5,-15.7262905162065
2022,40,2022/40,2022-10-08,388,406.5,-18.5,58.413,-76.913,-18.9207872078721
2022,41,2022/41,2022-10-15,431,411,20,61.292,-41.292,-10.0467153284672
2022,42,2022/42,2022-10-22,425,432.5,-7.5,67.688,-75.188,-17.3845086705202
2022,43,2022/43,2022-10-29,406,410.5,-4.5,67.688,-72.188,-17.5853836784409
2022,44,2022/44,2022-11-05,425,394,31,71.845,-40.845,-10.3667512690355
2022,45,2022/45,2022-11-12,447,413,34,76.002,-42.002,-10.1699757869249
2022,46,2022/46,2022-11-19,403,433,-30,79.2,-109.2,-25.2193995381062
2022,47,2022/47,2022-11-26,414,410.5,3.5,81.439,-77.939,-18.9863580998782
2022,48,2022/48,2022-12-03,445,393,52,79.52,-27.52,-7.00254452926209
2022,49,2022/49,2022-12-10,388,399.5,-11.5,81.439,-92.939,-23.263829787234
2022,50,2022/50,2022-12-17,430,415,15,83.358,-68.358,-16.4718072289157
2022,51,2022/51,2022-12-24,438,410,28,83.358,-55.358,-13.5019512195122
2022,52,2022/52,2022-12-31,433,418,15,86.556,-71.556,-17.1186602870813
2023,1,2023/01,2023-01-07,391,397,-6,91.993,-97.993,-24.6833753148615
2023,2,2023/02,2023-01-14,419,401,18,98,-80,-19.9501246882793
2023,3,2023/03,2023-01-21,443,422.5,20.5,102,-81.5,-19.2899408284024
2023,4,2023/04,2023-01-28,398,439,-41,108,-149,-33.9407744874715
2023,5,2023/05,2023-02-04,379,447,-68,94,-162,-36.241610738255
2023,6,2023/06,2023-02-11,386,435.5,-49.5,92.312,-141.812,-32.5630309988519
2023,7,2023/07,2023-02-18,390,436.5,-46.5,87.196,-133.696,-30.6290950744559
2023,8,2023/08,2023-02-25,411,421.5,-10.5,82.079,-92.579,-21.9641755634638
2023,9,2023/09,2023-03-04,412,436.5,-24.5,75,-99.5,-22.794959908362
2023,10,2023/10,2023-03-11,416,440,-24,72,-96,-21.8181818181818
2023,11,2023/11,2023-03-18,404,414,-10,80.8,-90.8,-21.9323671497585
